length, selection, insertion, merge
10, 45, 9, 19
20, 190, 19, 48
30, 435, 29, 77
40, 780, 39, 116
50, 1225, 49, 153
60, 1770, 59, 184
70, 2415, 69, 227
80, 3160, 79, 272
90, 4005, 89, 317
100, 4950, 99, 356
110, 5995, 109, 395
120, 7140, 119, 428
130, 8385, 129, 463
140, 9730, 139, 524
150, 11175, 149, 579
160, 12720, 159, 624
170, 14365, 169, 679
180, 16110, 179, 724
190, 17955, 189, 763
200, 19900, 199, 812
210, 21945, 209, 859
220, 24090, 219, 900
230, 26335, 229, 941
240, 28680, 239, 976
250, 31125, 249, 1011
260, 33670, 259, 1056
270, 36315, 269, 1125
280, 39060, 279, 1188
290, 41905, 289, 1247
300, 44850, 299, 1308
310, 47895, 309, 1363
320, 51040, 319, 1408
330, 54285, 329, 1473
340, 57630, 339, 1528
350, 61075, 349, 1577
360, 64620, 359, 1628
370, 68265, 369, 1675
380, 72010, 379, 1716
390, 75855, 389, 1769
400, 79800, 399, 1824
410, 83845, 409, 1879
420, 87990, 419, 1928
430, 92235, 429, 1977
440, 96580, 439, 2020
450, 101025, 449, 2061
460, 105570, 459, 2112
470, 110215, 469, 2157
480, 114960, 479, 2192
490, 119805, 489, 2237
500, 124750, 499, 2272
