length, selection, insertion, merge
10, 45, 54, 15
20, 190, 209, 40
30, 435, 464, 71
40, 780, 819, 100
50, 1225, 1274, 133
60, 1770, 1829, 172
70, 2415, 2484, 205
80, 3160, 3239, 240
90, 4005, 4094, 275
100, 4950, 5049, 316
110, 5995, 6104, 357
120, 7140, 7259, 404
130, 8385, 8514, 451
140, 9730, 9869, 480
150, 11175, 11324, 515
160, 12720, 12879, 560
170, 14365, 14534, 595
180, 16110, 16289, 640
190, 17955, 18144, 691
200, 19900, 20099, 732
210, 21945, 22154, 775
220, 24090, 24309, 824
230, 26335, 26564, 873
240, 28680, 28919, 928
250, 31125, 31374, 983
260, 33670, 33929, 1032
270, 36315, 36584, 1063
280, 39060, 39339, 1100
290, 41905, 42194, 1141
300, 44850, 45149, 1180
310, 47895, 48204, 1225
320, 51040, 51359, 1280
330, 54285, 54614, 1315
340, 57630, 57969, 1360
350, 61075, 61424, 1411
360, 64620, 64979, 1460
370, 68265, 68634, 1513
380, 72010, 72389, 1572
390, 75855, 76244, 1619
400, 79800, 80199, 1664
410, 83845, 84254, 1709
420, 87990, 88409, 1760
430, 92235, 92664, 1811
440, 96580, 97019, 1868
450, 101025, 101474, 1927
460, 105570, 106029, 1976
470, 110215, 110684, 2031
480, 114960, 115439, 2096
490, 119805, 120294, 2151
500, 124750, 125249, 2216
