length, selection, insertion, merge
10, 45, 15, 20
20, 190, 31, 51
30, 435, 47, 88
40, 780, 55, 122
50, 1225, 71, 168
60, 1770, 93, 206
70, 2415, 115, 250
80, 3160, 125, 288
90, 4005, 147, 338
100, 4950, 151, 374
110, 5995, 175, 424
120, 7140, 175, 459
130, 8385, 201, 502
140, 9730, 215, 556
150, 11175, 233, 611
160, 12720, 253, 659
170, 14365, 265, 715
180, 16110, 285, 769
190, 17955, 297, 803
200, 19900, 299, 850
210, 21945, 329, 913
220, 24090, 347, 956
230, 26335, 341, 997
240, 28680, 371, 1036
250, 31125, 377, 1076
260, 33670, 409, 1138
270, 36315, 409, 1194
280, 39060, 437, 1264
290, 41905, 463, 1321
300, 44850, 461, 1375
310, 47895, 507, 1436
320, 51040, 513, 1482
330, 54285, 517, 1548
340, 57630, 529, 1593
350, 61075, 543, 1645
360, 64620, 569, 1700
370, 68265, 585, 1759
380, 72010, 601, 1784
390, 75855, 617, 1853
400, 79800, 607, 1890
410, 83845, 649, 1970
420, 87990, 625, 2009
430, 92235, 677, 2078
440, 96580, 681, 2115
450, 101025, 725, 2185
460, 105570, 709, 2221
470, 110215, 773, 2306
480, 114960, 761, 2322
490, 119805, 805, 2399
500, 124750, 789, 2418
