length, selection, insertion, merge
10, 45, 35, 22
20, 190, 97, 60
30, 435, 275, 107
40, 780, 480, 160
50, 1225, 773, 211
60, 1770, 893, 283
70, 2415, 1325, 343
80, 3160, 1787, 418
90, 4005, 1837, 473
100, 4950, 2534, 535
110, 5995, 2665, 608
120, 7140, 3925, 669
130, 8385, 4155, 757
140, 9730, 4570, 832
150, 11175, 5139, 897
160, 12720, 6189, 971
170, 14365, 7163, 1050
180, 16110, 8634, 1126
190, 17955, 8928, 1206
200, 19900, 9588, 1288
210, 21945, 11751, 1365
220, 24090, 12756, 1430
230, 26335, 12865, 1514
240, 28680, 15517, 1585
250, 31125, 15120, 1671
260, 33670, 17796, 1751
270, 36315, 18902, 1843
280, 39060, 19639, 1924
290, 41905, 21710, 2016
300, 44850, 23960, 2090
310, 47895, 25628, 2199
320, 51040, 25820, 2272
330, 54285, 28006, 2344
340, 57630, 30090, 2433
350, 61075, 30144, 2529
360, 64620, 30265, 2597
370, 68265, 34684, 2686
380, 72010, 36580, 2772
390, 75855, 41901, 2863
400, 79800, 39338, 2958
410, 83845, 42426, 3034
420, 87990, 42914, 3146
430, 92235, 46523, 3217
440, 96580, 49786, 3315
450, 101025, 51916, 3413
460, 105570, 53749, 3493
470, 110215, 55004, 3584
480, 114960, 57976, 3706
490, 119805, 59561, 3772
500, 124750, 65749, 3835
